iter	MAPE	RMSE
0	4.192003842	1223.470138
1	4.102985708	1160.056166
2	4.034433543	1100.892569
3	3.926838801	1045.231043
4	3.865971363	994.3617439
5	3.830855097	947.3149671
6	3.773466935	903.9149897
7	3.709583426	863.9635448
8	3.64794198	826.9818322
9	3.576317255	792.4082148
10	3.524682134	760.560033
11	3.471778317	731.6621426
12	3.395449357	703.1615723
13	3.321265223	677.9274078
14	3.245298536	654.093622
15	3.204594495	632.9606571
16	3.153662924	613.5079631
17	3.105478	595.241884
18	3.057512279	578.3512991
19	2.999545425	562.7633695
20	2.96482218	548.89692
21	2.900658745	535.9144013
22	2.858120143	524.4873671
23	2.814267242	513.3561436
24	2.795720837	504.3736993
25	2.75540645	495.0345923
26	2.712055582	487.0403816
27	2.683033417	479.3268027
28	2.648679047	472.3930229
29	2.60893747	465.5836436
30	2.56447061	459.7606071
31	2.543017927	454.7423841
32	2.515878681	449.9190386
33	2.489804917	445.5760775
34	2.468771169	441.9309534
35	2.441151568	438.2415743
36	2.424231909	434.6035373
37	2.414709071	432.0504472
38	2.392902671	429.2168726
39	2.34286799	426.0809498
40	2.335959103	424.1496991
41	2.32343544	421.685385
42	2.313514147	419.958127
43	2.294165983	418.0344357
44	2.280174783	415.7235619
45	2.261305857	414.0020145
46	2.252702078	412.1238009
47	2.224922674	410.3966813
48	2.215604025	408.2819355
49	2.203844705	406.9711905
50	2.196173361	405.751482
51	2.17740107	404.6071969
52	2.163864791	403.250442
53	2.14190737	402.2188894
54	2.127406918	401.0620784
55	2.103469611	400.0939953
56	2.100330363	399.2419719
57	2.060321958	397.7014211
58	2.059623116	397.0654577
59	2.0449224	395.7770637
60	2.036975062	395.2424029
61	2.028806125	394.3111794
62	2.017973046	393.3537607
63	2.004947097	392.7081957
64	1.994011706	391.9946084
65	1.990546912	391.5451327
66	1.97875656	390.4936443
67	1.976213337	389.673559
68	1.969895939	389.2214727
69	1.958119557	388.0608358
70	1.952120572	387.427522
71	1.943423658	386.4737765
72	1.93333812	385.5815309
73	1.920001899	385.0534139
74	1.914118389	383.8002505
75	1.908157416	382.7308976
76	1.900569169	382.0219091
77	1.88066221	381.0520486
78	1.869393224	380.0577898
79	1.868067213	379.3831736
80	1.844032355	378.6499171
81	1.832565343	377.6139059
82	1.826674109	377.0942196
83	1.811535554	376.4314545
84	1.807611725	375.8752615
85	1.805764757	375.3721211
86	1.804016612	374.8501429
87	1.802985081	374.2939503
88	1.790427577	373.7659657
89	1.786702135	373.4003654
90	1.765880303	372.7632089
91	1.765681975	372.3642386
92	1.765769599	371.8427002
93	1.754551475	371.0105576
94	1.745382411	370.3073141
95	1.729051963	369.3401089
96	1.724292958	368.8838663
97	1.718658064	368.4478301
98	1.702596952	367.7614479
99	1.701636858	367.5161298
100	1.699781672	366.7111965
101	1.696458213	365.8140691
102	1.688515768	365.0539827
103	1.686242295	364.4719603
104	1.68400501	364.0819786
105	1.678912765	363.614105
106	1.679627325	363.1353658
107	1.678483889	362.7366508
108	1.675379346	362.3180685
109	1.656859123	361.6987552
110	1.636024408	361.0903349
111	1.632956154	360.8581484
112	1.628822802	360.3364994
113	1.629036347	359.9032404
114	1.62735876	359.4143402
115	1.626896226	358.8529649
116	1.624503244	358.2168201
117	1.610628525	357.6838395
118	1.610218489	357.1415135
119	1.610184593	356.8663088
120	1.605417174	356.5875704
121	1.591290734	355.8556941
122	1.578536293	355.3930388
123	1.571338494	354.9580653
124	1.57030859	354.5901393
125	1.559963451	354.1069903
126	1.554389839	353.7047376
127	1.554284194	353.3479794
128	1.553744651	352.905456
129	1.555079129	352.4604252
130	1.553505605	352.0325787
131	1.545937877	351.5757969
132	1.546090502	351.2908465
133	1.534227343	350.8146001
134	1.533143744	350.4670782
135	1.507705871	349.9058702
136	1.492706878	349.3128028
137	1.489770485	348.8391811
138	1.47818046	348.3825167
139	1.478329926	348.0314401
140	1.477733022	347.7060203
141	1.474206942	347.4324251
142	1.46215039	346.8819741
143	1.440665541	346.3279149
144	1.421259248	345.864129
145	1.417563713	345.5285969
146	1.415240033	345.0676479
147	1.407150023	344.7457269
148	1.39516936	344.3002546
149	1.36496567	343.736467
150	1.364444116	343.4603004
151	1.360159657	343.1919642
152	1.36016252	342.9780378
153	1.359650755	342.6043504
154	1.346373732	342.2376838
155	1.345326159	341.954388
156	1.320782061	341.5990388
157	1.320294101	341.218898
158	1.304864057	340.8132136
159	1.298804772	340.4822467
160	1.299168264	340.212561
161	1.288059105	339.9199688
162	1.287354125	339.4764374
163	1.287315848	339.0019226
164	1.281714066	338.6346522
165	1.268919227	338.0776181
166	1.265367302	337.571242
167	1.264720986	337.3102049
168	1.252964937	336.9116224
169	1.252729628	336.6240144
170	1.239497264	336.1948497
171	1.228089746	335.7867064
172	1.21769887	335.4021352
173	1.216701087	334.8874837
174	1.21593227	334.6327332
175	1.209023863	334.1562315
176	1.206772552	333.8472658
177	1.200769191	333.4020256
178	1.198016083	333.0706264
179	1.1950867	332.4829063
180	1.192277159	332.2782968
181	1.191931423	331.7241927
182	1.192070365	331.3609662
183	1.191504349	331.0956064
184	1.183734224	330.9086923
185	1.163296858	330.3937938
186	1.163070268	329.9442888
187	1.162673541	329.6280732
188	1.162201436	329.3220319
189	1.16253304	329.017592
190	1.162101759	328.7316017
191	1.138707613	328.1196321
192	1.128122206	327.7724333
193	1.12794202	327.5021981
194	1.125359848	327.350394
195	1.123368593	327.0387746
196	1.103190231	326.595255
197	1.103193898	326.3737614
198	1.103372513	326.1521161
199	1.086359382	325.7841292
200	1.089250018	325.3484744
201	1.08483043	324.8972897
202	1.085837693	324.6700608
203	1.084436413	324.3763949
204	1.081494537	324.0340688
205	1.078333765	323.7830895
206	1.077698042	323.5684205
207	1.078079611	323.2070748
208	1.074824433	323.0503937
209	1.074255997	322.7741804
210	1.073182168	322.4961769
211	1.068259931	322.2455973
212	1.067615475	321.9277337
213	1.066759291	321.6141198
214	1.066320202	321.3481272
215	1.065177629	321.090028
216	1.06270581	320.8092831
217	1.058612677	320.5089388
218	1.052737094	320.2119051
219	1.052371174	319.9060129
220	1.047082582	319.6851315
221	1.047320867	319.3513952
222	1.04677192	319.1881332
223	1.038530876	319.0113489
224	1.038036712	318.7745239
225	1.03678209	318.542473
226	1.035955586	318.1961656
227	1.032624681	317.7995033
228	1.031213752	317.5275874
229	1.031081464	317.2966428
230	1.030873273	317.1069888
231	1.015372196	316.7792773
232	1.015643115	316.5368995
233	1.014150246	316.3231584
234	1.012563381	316.1103337
235	1.007144432	315.9068335
236	1.00772279	315.6076127
237	1.0094759	315.4054747
238	0.9990418817	315.1225403
239	0.9989967807	315.045939
240	0.9989295515	314.7087892
241	0.9974648853	314.4077093
242	0.9974378768	314.1585443
243	0.9944398097	313.8705938
244	0.9944790287	313.6682688
245	0.9949655978	313.3909205
246	0.9948396588	313.1929837
247	0.9926090587	313.0311457
248	0.9924851386	312.7010728
249	0.9918386488	312.5203606
250	0.9768886849	312.1889915
251	0.9772613749	311.99171
252	0.9744696294	311.8758475
253	0.9739578136	311.6602889
254	0.9695738318	311.4417252
255	0.9694815658	311.1999214
256	0.9668009476	310.9411031
257	0.9617637221	310.7394965
258	0.9612339773	310.4692922
259	0.9607211017	310.2870173
260	0.9583716157	310.0903352
261	0.9581744582	309.7755017
262	0.9577074978	309.6048933
263	0.9567833567	309.3820321
264	0.9502602814	308.9614298
265	0.9459789918	308.6312046
266	0.9423817225	308.3432075
267	0.9418024329	308.1089179
268	0.9381770569	307.7918692
