iter	Passed	Remaining
0	5	5288
1	9	4764
2	15	5221
3	20	4980
4	23	4678
5	28	4672
6	33	4791
7	38	4765
8	43	4747
9	49	4861
10	53	4773
11	57	4736
12	62	4753
13	68	4808
14	72	4787
15	77	4744
16	81	4691
17	85	4668
18	91	4718
19	96	4745
20	101	4739
21	105	4707
22	110	4682
23	115	4683
24	121	4733
25	127	4765
26	133	4823
27	139	4832
28	143	4817
29	148	4805
30	152	4777
31	157	4753
32	163	4789
33	170	4836
34	175	4849
35	180	4827
36	184	4807
37	188	4784
38	194	4799
39	199	4792
40	204	4791
41	210	4806
42	217	4836
43	221	4817
44	227	4823
45	231	4803
46	235	4783
47	243	4824
48	247	4795
49	251	4775
50	256	4763
51	261	4760
52	265	4739
53	269	4714
54	273	4701
55	277	4677
56	282	4669
57	288	4684
58	294	4698
59	299	4686
60	303	4674
61	307	4651
62	311	4639
63	318	4653
64	323	4657
65	329	4658
66	333	4644
67	338	4634
68	342	4618
69	346	4597
70	350	4581
71	356	4596
72	363	4614
73	369	4617
74	373	4602
75	377	4586
76	381	4568
77	388	4587
78	394	4603
79	400	4611
80	405	4595
81	409	4582
82	413	4568
83	420	4580
84	425	4577
85	429	4561
86	434	4559
87	440	4562
88	444	4547
89	449	4543
90	454	4543
91	459	4531
92	463	4519
93	467	4509
94	471	4492
95	476	4490
96	483	4497
97	489	4505
98	494	4498
99	498	4485
100	502	4472
101	507	4467
102	515	4490
103	520	4485
104	524	4472
105	528	4461
106	532	4447
107	537	4437
108	541	4424
109	545	4416
110	552	4422
111	557	4419
112	562	4414
113	566	4402
114	570	4389
115	574	4378
116	579	4371
117	584	4368
118	590	4372
119	594	4361
120	598	4350
121	603	4339
122	606	4326
123	612	4328
124	616	4318
125	621	4307
126	625	4297
127	630	4291
128	636	4298
129	641	4291
130	646	4290
131	651	4281
132	654	4269
133	661	4277
134	667	4274
135	671	4265
136	676	4262
137	682	4261
138	686	4253
139	690	4243
140	694	4231
141	698	4221
142	702	4212
143	709	4220
144	716	4224
145	723	4229
146	726	4217
147	730	4205
148	734	4196
149	742	4206
150	747	4205
151	752	4198
152	756	4188
153	760	4176
154	764	4168
155	768	4158
156	773	4153
157	778	4146
158	781	4135
159	788	4137
160	792	4129
161	796	4119
162	800	4110
163	806	4111
164	810	4103
165	815	4094
166	819	4085
167	823	4079
