iter	MAPE	RMSE
0	4.257307907	1227.308806
1	4.156166654	1162.355422
2	4.053214906	1102.17944
3	3.959758816	1046.549486
4	3.859984958	995.6067868
5	3.816583244	948.1791128
6	3.752970148	904.0027507
7	3.695376297	863.4776283
8	3.625163805	825.0716711
9	3.541684303	789.1594016
10	3.480340866	756.852253
11	3.439602119	727.1236121
12	3.366895174	699.2951983
13	3.330004317	674.9412373
14	3.276183176	651.4410365
15	3.218171058	630.7304204
16	3.161799935	611.2985908
17	3.107421439	593.5552261
18	3.040841845	576.4199811
19	3.011057617	561.3442686
20	2.98127398	547.8001892
21	2.939179321	534.9279591
22	2.909301198	523.5792207
23	2.882608547	513.4652452
24	2.853374699	504.4692882
25	2.812940243	494.8908061
26	2.790019673	487.1953291
27	2.759760912	479.5968175
28	2.725613254	472.7127941
29	2.70155313	466.6805234
30	2.6522394	460.5460929
31	2.629514153	455.6358048
32	2.60678358	451.3500182
33	2.580856319	446.77966
34	2.559806046	442.8826907
35	2.541109137	439.7484089
36	2.500830772	435.9887162
37	2.490166024	433.2156578
38	2.476203733	430.6831464
39	2.462628868	428.5056315
40	2.447478085	426.0291586
41	2.426586097	423.4376098
42	2.410645922	421.1820421
43	2.393038928	419.0336336
44	2.371818169	416.8981712
45	2.354713743	415.0247536
46	2.334093384	413.4715261
47	2.308342667	412.0895434
48	2.301814635	410.8692891
49	2.282772588	409.2971996
50	2.267536266	407.5022526
51	2.259288833	406.4354079
52	2.251799199	405.0238144
53	2.246797293	403.9184097
54	2.232144006	403.3163256
55	2.204805006	401.7985732
56	2.199375126	400.9991717
57	2.186302043	400.1466673
58	2.174304166	399.1478231
59	2.154509641	397.8850098
60	2.145933969	396.9080161
61	2.138469649	396.013819
62	2.131068918	394.9911177
63	2.119896554	393.8970886
64	2.112419382	393.1142715
65	2.106522463	392.4330989
66	2.093424844	391.675428
67	2.076189946	390.8147049
68	2.071707266	389.8058037
69	2.053963633	389.3024495
70	2.052322214	388.7457712
71	2.042625321	387.2537566
72	2.033688953	386.4604007
73	2.02777085	386.0650602
74	1.998634822	385.0675589
75	1.997326225	383.9605648
76	1.99554189	383.4929738
77	1.983326421	382.758694
78	1.973381765	382.3037824
79	1.972731539	381.812974
80	1.966169215	380.8083382
81	1.95988071	380.3737584
82	1.949906417	379.6692112
83	1.947986648	379.2167259
84	1.945802775	378.6589883
85	1.931053085	377.9715462
86	1.929269914	377.5541429
87	1.912901152	376.7757781
88	1.90383459	376.0905341
89	1.901644686	375.4302648
90	1.88881306	374.7444447
91	1.882092866	374.366965
92	1.8819223	373.8762576
93	1.864989676	373.2553099
94	1.862634367	372.3229623
95	1.862190622	372.0454636
96	1.831030415	371.0345955
97	1.802772374	370.5635345
98	1.795521683	370.1451031
99	1.781107127	369.7694651
100	1.777730688	368.9930633
101	1.771064459	368.4338255
102	1.771202844	367.9004356
103	1.771004359	367.5024619
104	1.73555508	366.676102
105	1.729776175	366.3576388
106	1.722818245	365.8299964
107	1.720639226	365.0825306
108	1.71430241	364.5444198
109	1.713672818	363.9675091
110	1.710532719	363.2975046
111	1.694622711	362.5971554
112	1.667201435	361.9451653
113	1.666436053	361.6550024
