iter	Passed	Remaining
0	4	4830
1	9	4548
2	13	4443
3	17	4410
4	22	4440
5	26	4340
6	30	4280
7	34	4274
8	38	4230
9	42	4165
10	45	4122
11	49	4116
12	53	4087
13	57	4056
14	61	4010
15	64	3979
16	68	3955
17	71	3913
18	75	3883
19	78	3867
20	83	3872
21	87	3868
22	90	3852
23	94	3830
24	97	3808
25	100	3777
26	104	3755
27	107	3731
28	111	3722
29	114	3697
30	117	3680
31	121	3660
32	124	3643
33	128	3639
34	131	3623
35	134	3611
36	138	3597
37	141	3578
38	144	3567
39	148	3555
40	151	3546
41	154	3533
42	158	3528
43	161	3517
44	164	3501
45	168	3494
46	172	3497
47	175	3487
48	179	3476
49	182	3468
50	185	3458
51	189	3451
52	192	3443
53	196	3436
54	199	3433
55	203	3430
56	207	3426
57	210	3425
58	214	3418
59	217	3414
60	221	3403
61	224	3392
62	227	3388
63	231	3378
64	234	3375
65	237	3367
66	241	3361
67	244	3356
68	248	3352
69	252	3349
70	255	3340
71	258	3333
72	261	3325
73	265	3322
74	268	3316
75	272	3312
76	275	3305
77	279	3299
78	282	3292
79	285	3285
80	289	3280
81	292	3274
82	296	3270
83	299	3262
84	302	3255
85	305	3248
86	308	3242
87	312	3235
88	315	3229
89	318	3222
90	322	3217
91	325	3217
92	329	3210
93	332	3205
94	335	3200
95	339	3194
96	342	3188
97	345	3182
98	349	3177
99	352	3172
100	355	3168
101	359	3163
102	362	3157
103	365	3152
104	369	3147
105	372	3143
106	376	3138
107	379	3132
108	382	3127
109	385	3122
110	389	3116
111	392	3112
112	395	3108
113	399	3101
114	402	3095
115	405	3089
116	408	3084
117	411	3079
118	415	3074
119	418	3071
120	421	3064
121	425	3060
122	428	3055
123	431	3050
124	435	3045
125	438	3040
126	441	3035
127	445	3031
128	448	3028
129	451	3024
130	455	3020
131	458	3016
132	462	3012
133	465	3007
134	468	3003
135	472	2998
136	475	2994
137	478	2990
138	481	2985
139	485	2980
140	488	2976
141	491	2972
142	495	2967
143	498	2961
144	501	2956
145	504	2951
146	508	2948
147	511	2942
148	514	2938
149	517	2933
150	520	2928
151	524	2924
152	527	2920
153	530	2915
154	533	2910
155	537	2906
156	540	2902
157	543	2898
158	547	2893
159	550	2888
160	553	2885
161	556	2879
162	559	2875
163	563	2870
164	566	2865
165	571	2868
166	574	2867
167	578	2865
168	584	2875
169	588	2871
170	591	2867
171	594	2861
172	597	2857
173	601	2853
174	604	2849
175	607	2844
176	610	2840
177	614	2838
178	617	2833
179	620	2828
180	624	2825
181	627	2820
182	631	2818
183	634	2814
184	638	2810
185	641	2806
186	644	2802
187	647	2798
188	651	2793
189	654	2790
190	658	2788
191	661	2785
192	665	2780
193	668	2775
194	671	2771
195	674	2767
196	677	2763
197	681	2759
198	684	2755
199	688	2752
200	691	2748
201	694	2743
202	697	2739
203	701	2735
204	704	2732
205	707	2728
206	711	2723
207	714	2720
208	717	2716
209	721	2713
210	724	2709
211	727	2705
212	731	2701
213	734	2697
214	737	2693
215	740	2688
216	744	2684
217	747	2681
218	750	2677
219	754	2673
220	757	2669
221	760	2665
222	763	2660
223	767	2657
224	770	2653
225	773	2649
226	777	2646
227	780	2641
228	783	2637
229	786	2633
230	789	2629
231	793	2625
232	796	2622
233	800	2619
234	803	2617
235	807	2615
236	812	2617
237	816	2614
238	820	2611
239	823	2607
240	827	2606
241	831	2602
242	834	2599
243	838	2596
244	841	2594
245	845	2590
246	848	2587
247	852	2584
248	855	2581
249	859	2578
250	862	2574
251	865	2570
252	869	2567
253	873	2564
254	876	2561
255	880	2558
256	883	2555
257	887	2553
258	891	2550
259	895	2548
260	898	2544
261	902	2542
262	906	2538
263	909	2536
264	913	2532
265	916	2529
266	920	2526
267	923	2523
268	927	2520
269	931	2518
270	935	2515
271	938	2513
272	942	2510
273	946	2507
274	949	2504
275	953	2501
276	957	2498
277	960	2495
278	964	2492
279	967	2488
280	971	2485
281	974	2482
282	979	2480
283	982	2477
284	986	2473
285	989	2470
286	993	2468
287	997	2465
288	1000	2462
289	1004	2458
290	1008	2456
291	1011	2452
292	1015	2449
293	1018	2445
294	1022	2443
295	1025	2439
296	1029	2436
297	1032	2433
298	1036	2430
299	1040	2427
300	1043	2423
301	1046	2419
302	1050	2416
303	1054	2413
304	1057	2410
305	1061	2406
306	1064	2403
307	1068	2401
308	1072	2398
309	1076	2395
310	1079	2391
311	1083	2388
312	1086	2384
313	1089	2380
314	1092	2376
315	1096	2373
316	1100	2370
317	1103	2366
318	1106	2362
319	1110	2359
320	1113	2355
321	1116	2351
322	1120	2348
323	1123	2344
324	1126	2340
325	1130	2336
326	1133	2333
327	1136	2328
328	1140	2325
329	1143	2322
330	1147	2320
331	1151	2316
332	1154	2312
333	1157	2309
334	1161	2305
335	1164	2301
336	1168	2298
337	1171	2294
338	1174	2290
339	1178	2286
340	1181	2282
341	1184	2279
342	1187	2275
343	1191	2271
344	1194	2268
345	1197	2264
346	1201	2260
347	1204	2256
348	1207	2252
349	1210	2248
350	1214	2244
351	1217	2240
352	1220	2237
353	1223	2233
354	1227	2229
355	1230	2225
356	1233	2221
357	1236	2218
358	1240	2214
359	1243	2210
360	1246	2206
361	1250	2203
362	1253	2199
363	1256	2195
364	1259	2191
365	1262	2187
366	1266	2183
367	1269	2179
368	1272	2176
369	1275	2172
370	1279	2168
371	1282	2165
372	1285	2161
373	1289	2157
374	1292	2153
375	1295	2150
376	1299	2146
377	1302	2142
378	1305	2139
379	1308	2135
380	1312	2131
381	1315	2128
382	1318	2124
383	1321	2120
384	1325	2116
385	1328	2112
386	1331	2109
387	1335	2105
388	1338	2101
389	1341	2098
390	1344	2094
391	1348	2091
392	1351	2087
393	1355	2084
394	1358	2080
395	1361	2076
396	1364	2072
397	1367	2069
398	1371	2065
399	1374	2062
400	1378	2058
401	1381	2054
402	1384	2050
403	1388	2047
404	1391	2044
405	1394	2040
406	1397	2036
407	1401	2033
408	1404	2029
409	1407	2025
410	1411	2022
411	1414	2018
